date,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1-Jan-2018,13715.65,13818.55,12750,13380,8609.92,2018-01-01 23:59:59.999000 UTC,114799747.4,105595,3961.938946,52809747.44
2-Jan-2018,13382.16,15473.49,12890.02,14675.11,20078.09,2018-01-02 23:59:59.999000 UTC,279717107.4,177728,11346.32674,158080088.7
3-Jan-2018,14690,15307.56,14150,14919.51,15905.67,2018-01-03 23:59:59.999000 UTC,236116868.3,162787,8994.953566,133587333.3
4-Jan-2018,14919.51,15280,13918.04,15059.54,21329.65,2018-01-04 23:59:59.999000 UTC,312781583.8,170310,12680.81295,186116793
5-Jan-2018,15059.56,17176.24,14600,16960.39,23251.49,2018-01-05 23:59:59.999000 UTC,369321956.5,192969,13346.62229,211829900.7
6-Jan-2018,16960.39,17143.13,16011.21,17069.79,18571.46,2018-01-06 23:59:59.999000 UTC,309216921,158242,11007.16406,183417769.1
7-Jan-2018,17069.79,17099.96,15610,16150.03,12493.13,2018-01-07 23:59:59.999000 UTC,206194706.4,120269,6779.320508,112151163.1
8-Jan-2018,16218.85,16322.3,12812,14902.54,26600.61,2018-01-08 23:59:59.999000 UTC,396569997.2,208642,13756.84439,206049582.1
9-Jan-2018,14902.54,15500,14011.05,14400,14315,2018-01-09 23:59:59.999000 UTC,210630187.5,156656,6841.233287,100698572.9
10-Jan-2018,14401,14955.66,13131.31,14907.09,17411,2018-01-10 23:59:59.999000 UTC,244011366.8,161476,8529.554675,119570139.8
11-Jan-2018,14940,14968.68,11400,13238.78,33554.72,2018-01-11 23:59:59.999000 UTC,446587594.7,239416,16422.01998,218762237.4
12-Jan-2018,13238.76,14109.78,12500,13740.01,16417.16,2018-01-12 23:59:59.999000 UTC,222516076.3,134452,8117.312075,110040020.2
13-Jan-2018,13749.95,14580,13706.15,14210,12221.51,2018-01-13 23:59:59.999000 UTC,173086488.6,123639,5574.178408,78958098.95
14-Jan-2018,14210,14339.5,12569.2,13474.99,17017.89,2018-01-14 23:59:59.999000 UTC,226525305.1,152364,8288.382911,110381556.7
15-Jan-2018,13477.98,14249.99,13147.79,13539.93,14652.09,2018-01-15 23:59:59.999000 UTC,200614554.5,145362,7431.063272,101748315.6
16-Jan-2018,13500,13542.93,9035,10900,63401.17,2018-01-16 23:59:59.999000 UTC,722150828.2,418243,30353.40172,346777069.9
17-Jan-2018,10899.99,11680.99,9037.94,10988.79,72331.8,2018-01-17 23:59:59.999000 UTC,744154180.1,517293,35412.79814,365047291.4
18-Jan-2018,10972.59,11878.82,10435.33,10961.97,48464.43,2018-01-18 23:59:59.999000 UTC,541289614.1,393112,23814.38285,266091805.7
19-Jan-2018,10960,11795,10360,11474.98,34129.38,2018-01-19 23:59:59.999000 UTC,382773499.2,273271,16871.41636,189259676.9
20-Jan-2018,11474.98,13099,11412.45,12799.94,28768.86,2018-01-20 23:59:59.999000 UTC,358561107.8,251647,14389.19601,179183657.9
21-Jan-2018,12799.8,12799.8,10965,11530,41379.77,2018-01-21 23:59:59.999000 UTC,485289230.8,360207,20574.76006,241154450
22-Jan-2018,11530,11926.35,9900.24,10760.05,43752.61,2018-01-22 23:59:59.999000 UTC,475716514.2,363264,21300.57583,231677479.1
23-Jan-2018,10760.05,11399,9905,10799.18,37473.92,2018-01-23 23:59:59.999000 UTC,399419413.2,355286,18747.79383,199899519.3
24-Jan-2018,10799.14,11570.48,10500,11349.99,27158.59,2018-01-24 23:59:59.999000 UTC,299470607.4,293429,13087.39309,144335221.6
25-Jan-2018,11349.96,11794.05,10950.21,11175.27,20839.95,2018-01-25 23:59:59.999000 UTC,236081365,221040,10201.38692,115584688.3
26-Jan-2018,11184.7,11643,10311.15,11089,33056.87,2018-01-26 23:59:59.999000 UTC,360482470.2,314720,15330.78955,167328952.4
27-Jan-2018,11089,11650,10842.69,11491,18860.77,2018-01-27 23:59:59.999000 UTC,212663199.5,207478,9208.937963,103935891.8
28-Jan-2018,11499.98,12244,11408,11879.95,16887.34,2018-01-28 23:59:59.999000 UTC,200211582.9,206247,7342.786997,87011013.83
29-Jan-2018,11879.95,11975.02,11139.55,11251,14170.38,2018-01-29 23:59:59.999000 UTC,162110154.9,169199,6016.496871,68819972.52
30-Jan-2018,11250.11,11308.42,9900,10237.51,25554.37,2018-01-30 23:59:59.999000 UTC,268978329.5,259212,11388.09642,119864289.1
31-Jan-2018,10230,10425.85,9700,10285.1,18015.96,2018-01-31 23:59:59.999000 UTC,181644207.1,201422,8782.584442,88609272.64
1-Feb-2018,10285.1,10335,8750.99,9224.52,33564.76,2018-02-01 23:59:59.999000 UTC,317636346,316020,15430.00385,146130725.9
2-Feb-2018,9224.52,9250,8010.02,8873.03,49971.63,2018-02-02 23:59:59.999000 UTC,434236483.7,453411,23113.50358,201292749.5
3-Feb-2018,8873.03,9473.01,8229,9199.96,28725,2018-02-03 23:59:59.999000 UTC,256834729.1,327519,14182.83815,127068644.5
