date,open_price,high_price,low_price,close_price,volume
11-Jun-2004,384,384.8,382.8,384.1,272
14-Jun-2004,384.3,385.8,381.8,382.8,1902
15-Jun-2004,382.8,388.8,381.1,388.6,1951
16-Jun-2004,387.1,389.8,382.6,383.8,2014
17-Jun-2004,383.6,389.3,383,387.6,1568
18-Jun-2004,388.6,395.8,385.8,394.3,2257
21-Jun-2004,394.3,396.8,392.1,393.1,1674
22-Jun-2004,392.8,396.3,392.3,394.1,1407
23-Jun-2004,394,396.6,392.3,395.6,1829
24-Jun-2004,394,402.8,393.1,401.1,1991
25-Jun-2004,402,402.8,400.1,401.1,1608
28-Jun-2004,401.8,404.6,398.8,399.8,2124
29-Jun-2004,399.8,400.5,390.3,391.3,2175
30-Jun-2004,391.5,396.3,391.1,393.3,2131
1-Jul-2004,391.6,395.8,391.5,395,1736
2-Jul-2004,395.1,399.8,391.3,397.8,1516
6-Jul-2004,397.8,398.8,388.5,392.1,1008
7-Jul-2004,394.1,403.1,394.1,401.8,792
8-Jul-2004,401.8,408.6,399.3,407.3,914
9-Jul-2004,407.3,407.8,405,407.1,793
12-Jul-2004,407.3,408.3,405,406.6,866
13-Jul-2004,407.1,407.3,399.6,403.1,1589
14-Jul-2004,400.8,405.8,400.8,404.8,990
15-Jul-2004,404.3,405.1,400.8,403.1,1900
16-Jul-2004,403.1,407.1,401.8,406.1,882
19-Jul-2004,405.5,407.5,403.8,404.8,858
20-Jul-2004,405,406.3,398.6,400.8,1707
21-Jul-2004,399.3,401.6,393.8,396.1,1908
22-Jul-2004,396,397.8,392.8,393.3,1907
23-Jul-2004,394.3,395,386.5,389.3,1899
26-Jul-2004,389.3,392.1,388.1,389.8,1992
27-Jul-2004,390.5,393.1,385.1,386.6,3054
28-Jul-2004,386.1,389.6,384.5,387.3,3205
29-Jul-2004,387.3,390.8,385.3,387.1,2521
30-Jul-2004,387.1,391.8,386.3,390.5,2803
2-Aug-2004,390.3,393.8,390.3,391.1,1926
3-Aug-2004,391.3,394.3,388.1,393.1,3214
4-Aug-2004,393.8,393.8,389.6,391.8,3037
5-Aug-2004,391.3,393,389.8,391.8,1900
6-Aug-2004,391.8,400.3,390.8,398.8,1878
9-Aug-2004,399.1,400.3,397.1,399.8,1449
10-Aug-2004,399.6,400.6,397.3,399.1,1442
11-Aug-2004,398.1,399.1,392.3,394.6,1523
12-Aug-2004,395.1,397.3,392.8,393.3,1730
13-Aug-2004,393.5,399.1,391.8,398.1,2692
16-Aug-2004,398.3,403.1,397.6,401.3,1423
17-Aug-2004,402.1,404.8,399.6,404.8,1031
18-Aug-2004,403.8,404.8,401.1,403.8,641
19-Aug-2004,403.8,407.5,403.1,406.1,1445
20-Aug-2004,406.1,413.8,404.6,412.2,1898
23-Aug-2004,411.8,411.8,407.8,409.3,1919
24-Aug-2004,409.6,409.6,401.6,401.6,1996
25-Aug-2004,401.8,407.6,401.6,406.8,3058
26-Aug-2004,406.3,408.8,404.1,406.3,1680
27-Aug-2004,406.5,408.5,400.8,402.3,2561
30-Aug-2004,402.3,408.6,402.1,408.1,940
31-Aug-2004,406.8,410.8,406.3,409.3,1100
1-Sep-2004,409.6,409.8,405.8,407.8,1866
2-Sep-2004,407.8,408.3,404.8,405.6,1236
3-Sep-2004,405.1,406.3,398.6,399.8,1547
7-Sep-2004,400.6,401.6,396.3,397.8,1421
8-Sep-2004,397.8,399.8,394.3,399.1,2418
9-Sep-2004,398.3,400.3,396.6,397.6,2887
10-Sep-2004,397.8,402.3,397.5,402.3,2744
13-Sep-2004,401.1,404.3,398.1,403.3,2562
14-Sep-2004,403.3,406.6,401.6,405.6,1495
15-Sep-2004,405.3,405.5,402.1,404.6,2017
16-Sep-2004,403.3,405.3,401.6,403.8,2710
17-Sep-2004,403.8,406.6,402.5,405,2792
20-Sep-2004,404.8,405.3,402.8,404.3,1873
21-Sep-2004,404.5,409.7,403.5,409.3,1498
22-Sep-2004,408.3,409.3,403.5,406.3,2461
23-Sep-2004,406.3,411.6,405.6,410.1,2355
24-Sep-2004,410.1,411,405.8,407.1,1891
27-Sep-2004,407.3,409.6,406.6,408.8,988
28-Sep-2004,408.3,412.6,408,411.6,2444
29-Sep-2004,411.7,413.7,410.2,412.1,3798
30-Sep-2004,412.2,418.6,410.5,417.8,4044
1-Oct-2004,417.8,419.3,416.3,419,1356
4-Oct-2004,418.3,418.8,411.3,418.8,936
5-Oct-2004,413.6,419.3,412.3,418.3,869
6-Oct-2004,418.6,419.8,415.6,417.3,1059
7-Oct-2004,418.1,419.7,416.7,417.1,3365
8-Oct-2004,417.3,423.3,416.8,422.3,713
11-Oct-2004,422.5,422.6,420.6,421.6,748
12-Oct-2004,421.3,422.1,412.6,414.8,909
13-Oct-2004,414.8,416.1,409.1,415.3,1355
14-Oct-2004,415.1,418.5,413.8,417.3,1467
15-Oct-2004,417.3,420.8,417.2,418.3,1030
18-Oct-2004,418.1,419.8,415.3,415.3,1128
19-Oct-2004,415.3,420.2,414.3,419.3,1286
20-Oct-2004,419.3,425.5,419.3,423.1,1002
21-Oct-2004,423.1,425.8,421.5,423.3,1274
22-Oct-2004,423.8,424.7,421.5,423.7,1034
25-Oct-2004,426,430.2,426,427.8,1206
26-Oct-2004,428.3,428.6,424.3,426.3,1015
27-Oct-2004,426.1,428.3,422.8,423.8,1267
28-Oct-2004,423.3,426.8,420.3,423.8,1450
29-Oct-2004,424.3,428.3,423.3,428.1,1388
1-Nov-2004,429.6,430.1,425.7,426.8,1246
2-Nov-2004,426.6,427,416.8,421.1,1255
3-Nov-2004,420.7,426.8,418.8,426.3,1257
4-Nov-2004,426.6,432.6,425.3,429.1,1230
5-Nov-2004,429.1,433.6,424.5,433.1,1493
8-Nov-2004,433.6,434.8,430.7,431.6,1067
9-Nov-2004,432.1,436.2,430.8,434.8,1311
10-Nov-2004,434.3,437.6,432,433.3,1338
11-Nov-2004,432.3,435.1,431.6,434.1,869
12-Nov-2004,433.8,438.5,433.8,437.3,1318
15-Nov-2004,438.3,439.8,435.2,436,1315
16-Nov-2004,435.8,440.3,434.8,439.3,2127
17-Nov-2004,438.1,444.6,438,444.1,2145
18-Nov-2004,444.6,445.7,439.7,441.6,1204
19-Nov-2004,441.8,447.8,441.3,446.6,1412
22-Nov-2004,446.3,448.5,445.6,448.3,811
23-Nov-2004,448.3,449.2,445.5,447.1,1004
24-Nov-2004,446.8,449.1,446.7,448.8,1362
26-Nov-2004,453.6,454.8,449,451.3,349
29-Nov-2004,451.3,454.3,449,452.8,1042
30-Nov-2004,452.6,453.3,447.6,450.3,1587
1-Dec-2004,450.7,455.2,449.8,453.8,1294
2-Dec-2004,454.3,456.3,446.6,448.3,1264
6-Dec-2004,455.1,455.8,450.5,451.8,940
7-Dec-2004,451.6,454.6,449.8,450.3,1473
8-Dec-2004,449.8,450.1,432.8,439.7,2677
9-Dec-2004,439.3,440.8,431.5,436.8,4025
10-Dec-2004,437,437,431.5,433.7,1189
13-Dec-2004,434.3,439.6,434.1,438.8,951
14-Dec-2004,438.6,439.1,434.5,435,1188
15-Dec-2004,435.6,441,434.8,440.8,1047
16-Dec-2004,440.6,442.3,435.1,436.6,1645
17-Dec-2004,436.8,441.5,436.8,441,1236
20-Dec-2004,441.3,443.6,440.3,442.1,704
21-Dec-2004,441.8,443.1,440.1,441.1,769
22-Dec-2004,441.2,442.6,438.3,439.2,829
23-Dec-2004,439.3,442.1,439.2,441.8,701
27-Dec-2004,442.6,445.1,441.8,443.8,546
28-Dec-2004,444.3,445.1,442.3,443.3,626
29-Dec-2004,443.1,443.6,433.1,435.8,1873
30-Dec-2004,435.7,438.3,433.3,437,925
3-Jan-2005,437.1,437.3,426.7,428.5,1308
4-Jan-2005,429.3,429.5,423.7,426.8,1579
5-Jan-2005,425.3,428,424.8,426.1,1327
6-Jan-2005,426.1,427.1,420,420.8,1174
7-Jan-2005,421.7,424.5,416.5,418.6,1473
10-Jan-2005,419.1,421.3,418.3,419.3,1079
11-Jan-2005,419.5,422.3,419,421.6,1742
12-Jan-2005,422,427.3,420.1,425.8,2358
